target_class,mask_size,total_masked_images,z_val,has_occlusion_heatmap
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.0,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,1.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,10,2.644854,0
cab,25,100,1.0,0
cab,25,100,1.0,0
cab,25,100,1.0,0
cab,25,100,1.0,0
cab,25,100,1.0,0
cab,25,100,1.0,0
